mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.20849291483561197,0.0027340138403908402,0.05406967798868815,0.006729500315119194,5,2,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.6815492119214523,0.7347082352136921,0.6749482991830266,0.6970685821060569,0.026751331764884857,24
1.7702667713165283,0.035022689034344946,0.27812544504801434,0.015336077696431714,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8121724823693197,0.8219417776223749,0.7902369675022756,0.8081170758313233,0.01325728699820606,20
0.07594633102416992,0.0028055129124188857,0.04233686129252116,0.0023432648705366764,5,2,5,1,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1}",0.32547269124228984,0.38658918908998213,0.3728632712666453,0.3616417171996391,0.026182042625316083,42
0.20035942395528158,0.013219593695323996,0.07195830345153809,0.011055431425201618,5,2,5,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.6815492119214523,0.7352332471690666,0.6749482991830266,0.6972435860911818,0.026997577346303887,23
1.7105534076690674,0.06393742257449016,0.29495946566263836,0.021450709569989606,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8125970039137959,0.8224674783588937,0.7902309226029356,0.8084318016252084,0.01348605611561782,19
0.09171279271443684,0.008262174315212829,0.039026737213134766,0.007953268340261117,10,1,2,1,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1}",0.52495813978526,0.4969373444715564,0.5612059307536448,0.5277004716701538,0.026309099614642055,29
0.38721807797749835,0.017659834806182145,0.05873664220174154,0.0035574370346452685,10,1,2,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.8359519642543927,0.81732747637902,0.8138778306458505,0.8223857570930878,0.009695583065797694,14
3.8824071089426675,0.1406770061642397,0.6241830190022787,0.21967651464806512,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8893318510841665,0.8811356331243992,0.8685296543400302,0.879665712849532,0.008555830236600389,5
0.09760570526123047,0.018101759407762853,0.03457800547281901,0.001016601637336622,10,1,5,1,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1}",0.44901421018622123,0.4979195624841918,0.5599856845431737,0.5023064857378622,0.04540999047173161,34
0.39582594235738117,0.04696009448482149,0.06080484390258789,0.006628627656398534,10,1,5,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.8328341353750984,0.8224605008280498,0.808872509002514,0.8213890484018874,0.00981158812598589,16
